id,login,name,email,type,bio,followers,following,blog,similarity,event_count,issue_count,pull_request_count,repo_count,push_count,active_days,fft,connect_accounts,response_time,label
1081405,0,0,0,User,0,5,1,,0.013807276935312637,230202,0,0,245,84,122,78.16526532748355,268,2267309.1549295774,Human
7648032,0,0,0,User,0,92,2,,0.001878892019033389,181974,0,0,125,70,173,1253.9347514062656,268,198488.77316770187,Bot
22494,0,0,0,User,0,1219,229,http://zoomquiet.io,0.001834352581158114,45830,0,0,3264,150,205,460.7089037862892,268,1370611.564437194,Human
13100598,0,0,0,User,0,9,6,https://sarkiroka.hu,0.014577780699828137,106013,0,0,124,38,40,2618.1861363621433,268,6674924.516666667,Human
27288824,0,0,0,User,0,23,7,https://www.patreon.com/buddyspencer,0.012409793368966368,32600,0,0,176,48,232,126.45017944600706,268,1186520.6042780748,Human
5709,0,0,0,User,0,64,16,https://moongift.co.jp,0.0007648566569764354,43413,0,0,563,338,134,112.94625512042255,268,671720.8506493507,Human
2163522,0,0,0,User,0,6,2,,0.016509842525246354,38344,0,0,375,46,157,5758.713307368009,268,30489.628571428573,Human
1355668,0,0,0,User,0,23,0,,0.014544578572349939,169362,0,0,90,55,148,928.342918185577,268,112345.49606010629,Human
29738535,0,0,0,User,0,22,34,https://arthurdanjou.fr,0.06041476761881208,163031,0,0,227,46,99,16967.786790028887,268,340087.4074074074,Human
18280708,0,0,0,User,0,14,27,,0.022764123990325305,22460,0,0,249,57,295,276.13431978460005,268,692751.1733442355,Human
759062,0,0,0,User,0,241,4,,0.011844582183693424,44108,0,0,237,127,239,1537.9963167467654,268,635002.6286014998,Human
35039147,0,0,0,User,0,34,27,https://chr.fr.eu.org,0.138059191612727,13950,0,0,255,30,30,17.48620091498482,268,134733.72972972973,Human
59210087,0,0,0,User,0,38,596,,0.03603999324390452,7779,0,0,942,65,21,18.093015306920528,268,47975.2,Human
28438021,0,0,0,User,0,148,8,maximousblk.me,0.07340173461383522,36338,0,0,1651,315,75,82.71624651708841,268,1501499.2735042735,Human
74838964,0,0,0,User,0,0,0,,0.19409668957476406,132158,0,0,3,2,343,4510.664075297025,268,5219.630258743686,Bot
11386439,0,0,0,User,0,49,33,https://pfandzelter.com,0.01701508390606043,17979,0,0,315,92,77,81.36196306163512,268,872548.5569620254,Human
5076961,0,0,0,User,0,14,2,http://jamie.sh,0.05558225474216113,10863,0,0,91,36,343,81.59094011245757,268,229043.76536312848,Human
3428506,0,0,0,User,0,9,35,,0.04224907431327702,63271,0,0,247,45,340,539.2633882943777,268,3299471.15,Human
1353811,0,0,0,User,0,23,21,https://www.linkedin.com/in/ricardomaia/,0.11149714101179942,21736,0,0,1002,61,343,2393.0345017900713,268,172293.6499032882,Human
87618423,0,0,0,User,0,19,0,,0.038402258833084825,664048,0,0,16,10,339,2380.3570083761842,268,19086.833333333332,Bot
66718300,0,0,0,User,0,16,3,https://www.npmjs.com/deepsearchjs,0.012395220980516434,23740,0,0,180,79,323,628.1610837682847,268,1496864.1134020619,Human
16950305,0,0,0,User,0,28,10,,0.0007956288107611586,162206,0,0,357,33,343,1536.494924204862,268,2826319.4235294117,Human
63096193,0,0,0,User,0,179,41,sayanbiswas.in,0.004709238467161891,71882,0,0,1194,173,342,9382.87232383424,268,217094.46984924623,Human
19990752,0,0,0,User,0,310,34,https://portaly.cc/israynotarray,0.00459023334689632,25189,0,0,443,192,336,164.35857719578112,268,6098114.594594595,Human
10616960,0,0,0,User,0,161,23,daniel.tools,0.025384607579827797,335036,0,0,49,18,194,13971.098549686938,268,4390860.1875,Human
64194467,0,0,0,User,0,32,183,enkr1.github.io/platforms,0.01731284077912669,22055,0,0,463,31,101,179.94550738836105,268,729404.7647058824,Human
69157597,0,0,0,User,0,6,50,,0.022491130043135913,9140,0,0,115,37,8,8.580800884383835,268,350760.9428571428,Human
3707860,0,0,0,User,0,26,0,www.polarmicrobes.org,0.020582410873554755,13296,0,0,46,28,40,68.45413460193066,268,6344257.630057803,Human
4713628,0,0,0,User,0,9,9,https://www.linkedin.com/in/mc-dave-valdecantos-10325596,0.2748549239269172,162445,0,0,93,34,343,5850.143487494421,268,1112.4500486898016,Human
35906997,0,0,0,User,0,18,8,,0.23828924823670986,14348,0,0,142,51,343,403.18695467192475,268,168079.6897993311,Human
64280,0,0,0,User,0,265,52,http://www.raphaelmichel.de,0.015101782615239702,78935,0,0,514,233,241,814.8345107562106,268,4139298.2916117697,Human
9011267,1,0,1,User,0,326,0,https://devblogs.microsoft.com/dotnet/,0.24189324009964094,709070,0,0,137,104,343,5230.411747381499,268,65583.90918163673,Bot
74699,0,0,0,User,0,419,15,https://mckay.pub,0.006917846624371141,45435,0,0,619,335,107,481.2002744638713,268,1209862.0450372088,Human
15879987,0,0,0,User,0,96,252,raftar.io,0.16837947539643247,45166,0,0,6051,159,207,208.86481419221187,268,979838.0189873418,Human
1884287,0,0,0,User,0,138,17,https://blog.svarun.dev/,0.02001901351048213,66531,0,0,1584,401,36,21.675157605001512,268,2638271.3140900196,Human
1783339,0,0,0,User,0,3,2,https://foxnox.app/,0.044135303661555436,5596,0,0,76,8,15,14.984172526515415,268,2608.136968085106,Human
10598343,0,0,0,User,0,32,0,,0.023664812194489234,25238,0,0,899,504,73,829.3800035275971,268,498502.18574938574,Human
44722363,0,0,0,User,0,7,5,https://www.projectoms.com/,0.10147648751608754,20721,0,0,134,45,44,405.9604583283952,268,92301.06032632031,Bot
26539665,0,0,0,User,0,16,19,littleee.github.io,0.01427058117708011,80950,0,0,173,45,28,35.107547941781775,268,163186.431372549,Human
