False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
0.0,0.42424242424242425,1.0
0.0,0.6767676767676768,0.8740837565966766
0.02247191011235955,0.6767676767676768,0.600000000345467
0.02247191011235955,0.6868686868686869,0.6000000001093031
0.0449438202247191,0.6868686868686869,0.5998885043811014
0.0449438202247191,0.7474747474747475,0.10483233317828689
0.06741573033707865,0.7474747474747475,2.6835730691838125e-09
0.06741573033707865,0.7575757575757576,5.311915734341277e-11
0.07865168539325842,0.7575757575757576,1.1769108455412935e-12
0.07865168539325842,0.797979797979798,6.916025833887928e-15
0.0898876404494382,0.797979797979798,1.0027387356161598e-15
0.0898876404494382,0.8080808080808081,6.506422560839988e-16
0.10112359550561797,0.8080808080808081,1.572171349286774e-16
0.10112359550561797,0.8181818181818182,1.4842205253867976e-17
0.15730337078651685,0.8181818181818182,2.121611448039751e-18
0.15730337078651685,0.8282828282828283,1.167182294945841e-18
0.1797752808988764,0.8282828282828283,7.444690909461995e-19
0.1797752808988764,0.8585858585858586,4.644597690024982e-19
0.20224719101123595,0.8585858585858586,4.3253367366429144e-19
0.20224719101123595,0.8787878787878788,2.731045328622949e-19
0.2247191011235955,0.8787878787878788,2.096172518951226e-19
0.2247191011235955,0.8888888888888888,1.945833942485645e-19
0.2696629213483146,0.8888888888888888,1.741756344299489e-19
0.2696629213483146,0.898989898989899,1.6598176882771542e-19
0.2808988764044944,0.898989898989899,1.5676627155575001e-19
0.2808988764044944,0.9090909090909091,1.2872773285873346e-19
0.30337078651685395,0.9090909090909091,1.174560896946936e-19
0.30337078651685395,0.9191919191919192,1.1644324438927456e-19
0.3146067415730337,0.9191919191919192,1.137027414233438e-19
0.3146067415730337,0.9292929292929293,1.1317480090212378e-19
0.3595505617977528,0.9292929292929293,9.851021446278326e-20
0.3595505617977528,0.9393939393939394,9.094140183774228e-20
0.39325842696629215,0.9393939393939394,8.646748403772699e-20
0.39325842696629215,0.9595959595959596,8.259135677936509e-20
0.47191011235955055,0.9595959595959596,7.070964074538473e-20
0.47191011235955055,0.9696969696969697,6.934625789774248e-20
0.48314606741573035,0.9696969696969697,6.855090222417173e-20
0.48314606741573035,0.9797979797979798,6.82147716672545e-20
0.5730337078651685,0.9797979797979798,6.323349690617927e-20
0.5730337078651685,0.98989898989899,6.258529304220492e-20
0.5842696629213483,0.98989898989899,6.206992059514738e-20
0.5842696629213483,1.0,6.176148946365306e-20
1.0,1.0,1.6119202805908823e-36
