False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
0.0,0.29931972789115646,1.0
0.0,0.5034013605442177,0.9000000000679798
0.0064516129032258064,0.5034013605442177,0.8999127749657039
0.0064516129032258064,0.5578231292517006,0.7908941480655088
0.012903225806451613,0.5578231292517006,0.7835209536372125
0.012903225806451613,0.564625850340136,0.7743902138404914
0.01935483870967742,0.564625850340136,0.7320441809380809
0.01935483870967742,0.7346938775510204,0.0016114185614422721
0.025806451612903226,0.7346938775510204,0.0012811319901004025
0.025806451612903226,0.7551020408163265,0.00025101419984486503
0.03870967741935484,0.7551020408163265,8.843510583403068e-05
0.03870967741935484,0.8027210884353742,5.4848086900868755e-06
0.05161290322580645,0.8027210884353742,4.512144696235649e-06
0.05161290322580645,0.8163265306122449,3.5460345495962475e-06
0.05806451612903226,0.8163265306122449,2.955811845929947e-06
0.05806451612903226,0.8367346938775511,7.830704443856498e-07
0.07096774193548387,0.8367346938775511,6.127995696831469e-07
0.07096774193548387,0.8435374149659864,5.594176879690129e-07
0.07741935483870968,0.8435374149659864,4.274145905223212e-07
0.07741935483870968,0.8571428571428571,3.5263375586221037e-07
0.1032258064516129,0.8571428571428571,2.070666624153436e-07
0.1032258064516129,0.8639455782312925,8.461668058931149e-08
0.10967741935483871,0.8639455782312925,8.417115094759625e-08
0.10967741935483871,0.8707482993197279,7.9198562215477e-08
0.11612903225806452,0.8707482993197279,6.786688989781015e-08
0.11612903225806452,0.8775510204081632,5.636997957667097e-08
0.13548387096774195,0.8775510204081632,3.2826503876664936e-08
0.13548387096774195,0.891156462585034,3.03700967175206e-08
0.14193548387096774,0.891156462585034,2.88557850098846e-08
0.14193548387096774,0.8979591836734694,2.8362685096503406e-08
0.23870967741935484,0.8979591836734694,1.9679819598592863e-08
0.23870967741935484,0.9047619047619048,1.9441976806440315e-08
0.25806451612903225,0.9047619047619048,1.810175016549951e-08
0.25806451612903225,0.9115646258503401,1.784485872929367e-08
0.2645161290322581,0.9115646258503401,1.7076112433911907e-08
0.2645161290322581,0.9251700680272109,1.658015287063213e-08
0.2967741935483871,0.9251700680272109,1.3343480870156113e-08
0.2967741935483871,0.9319727891156463,1.2912382169221542e-08
0.33548387096774196,0.9319727891156463,1.0686626389711777e-08
0.33548387096774196,0.9387755102040817,1.0272239689181766e-08
0.41935483870967744,0.9387755102040817,8.592321462762837e-09
0.41935483870967744,0.9455782312925171,8.29809158947247e-09
0.6,0.9455782312925171,6.137651198802988e-09
0.6,0.9523809523809523,6.099199029907945e-09
0.6516129032258065,0.9523809523809523,5.558094747282003e-09
0.6516129032258065,0.9591836734693877,5.503399723979233e-09
0.6838709677419355,0.9591836734693877,5.271347189902009e-09
0.6838709677419355,0.9659863945578231,5.209275134311138e-09
0.6903225806451613,0.9659863945578231,5.203444011384212e-09
0.6903225806451613,0.9727891156462585,5.184956533833227e-09
0.7032258064516129,0.9727891156462585,5.124292913991718e-09
0.7032258064516129,0.9795918367346939,5.07057221988556e-09
0.7677419354838709,0.9795918367346939,4.626886256813145e-09
0.7677419354838709,0.9931972789115646,4.5873318866019545e-09
0.8516129032258064,0.9931972789115646,4.088468487410842e-09
0.8516129032258064,1.0,4.056834690392034e-09
0.9870967741935484,1.0,4.015679347901772e-21
1.0,1.0,0.0
