,Accuracy,Precision,Recall,F1-score,AUC
baggingDecisionTree,0.9304635761589404,0.89375,0.9727891156462585,0.9315960912052117,0.9848136303500462
baggingKNeighbors,0.9304635761589404,0.9038461538461539,0.9591836734693877,0.9306930693069307,0.9838880582676588
baggingRandomForest,0.9304635761589404,0.9038461538461539,0.9591836734693877,0.9306930693069307,0.9849980662672915
baggingXGBoost,0.9337748344370861,0.9150326797385621,0.9523809523809523,0.9333333333333333,0.9866953600606121
baggingLogisticRegression,0.9437086092715232,0.9276315789473685,0.9591836734693877,0.9431438127090301,0.9888214381178135
baggingSVC,0.9403973509933775,0.9215686274509803,0.9591836734693877,0.94,0.9645757239623246
baggingGaussianNB,0.9503311258278145,0.9459459459459459,0.9523809523809523,0.9491525423728814,0.9889815111702525
