,Accuracy,Precision,Recall,F1-score,AUC
baggingDecisionTree,0.9271523178807947,0.9032258064516129,0.9523809523809523,0.9271523178807947,0.9791922035576832
baggingKNeighbors,0.8377483443708609,0.8769230769230769,0.7755102040816326,0.8231046931407943,0.9151237057600792
baggingRandomForest,0.9437086092715232,0.9276315789473685,0.9591836734693877,0.9431438127090301,0.9873666061879601
baggingXGBoost,0.9503311258278145,0.9342105263157895,0.9659863945578231,0.9498327759197325,0.9882080337122844
baggingLogisticRegression,0.847682119205298,0.954954954954955,0.7210884353741497,0.8217054263565892,0.9099018194711478
baggingSVC,0.847682119205298,0.954954954954955,0.7210884353741497,0.8217054263565892,0.917997680802307
baggingGaussianNB,0.7980132450331126,0.967391304347826,0.6054421768707483,0.7447698744769874,0.9459027800995667
