,Accuracy,Precision,Recall,F1-score,AUC
baggingDecisionTree,0.9095744680851063,0.9270833333333334,0.898989898989899,0.9128205128205128,0.9643151696746559
baggingKNeighbors,0.8297872340425532,0.8681318681318682,0.797979797979798,0.8315789473684211,0.9083570297131187
baggingRandomForest,0.925531914893617,0.9207920792079208,0.9393939393939394,0.93,0.9677114770401626
baggingXGBoost,0.9308510638297872,0.9479166666666666,0.9191919191919192,0.9333333333333333,0.9692447354637352
baggingLogisticRegression,0.851063829787234,0.9176470588235294,0.7878787878787878,0.8478260869565217,0.9307192579129173
baggingSVC,0.8351063829787234,0.9146341463414634,0.7575757575757576,0.8287292817679558,0.9154389247118587
baggingGaussianNB,0.8138297872340425,0.9444444444444444,0.6868686868686869,0.7953216374269005,0.9484009458212627
