,Accuracy,Precision,Recall,F1-score,AUC
baggingDecisionTree,0.7119205298013245,1.0,0.40816326530612246,0.5797101449275363,0.848121367752399
baggingKNeighbors,0.7119205298013245,1.0,0.40816326530612246,0.5797101449275363,0.848121367752399
baggingRandomForest,0.7119205298013245,1.0,0.40816326530612246,0.5797101449275363,0.848121367752399
baggingXGBoost,0.7052980132450332,1.0,0.3945578231292517,0.5658536585365853,0.848121367752399
baggingLogisticRegression,0.7119205298013245,1.0,0.40816326530612246,0.5797101449275363,0.848121367752399
baggingSVC,0.7119205298013245,1.0,0.40816326530612246,0.5797101449275363,0.8481213677523989
baggingGaussianNB,0.7119205298013245,1.0,0.40816326530612246,0.5797101449275363,0.8481213677523989
