False Positive Rate,True Positive Rate
0.0,0.0
0.0005267316302343956,0.16
0.0007900974453515934,0.296
0.0010534632604687912,0.384
0.001316829075585989,0.464
0.001316829075585989,0.472
0.0021069265209375824,0.536
0.00237029233605478,0.56
0.00237029233605478,0.584
0.002633658151171978,0.6
0.002633658151171978,0.608
0.003687121411640769,0.624
0.00474058467210956,0.64
0.005003950487226758,0.656
0.005530682117461154,0.68
0.0071108770081643406,0.696
0.008691071898867527,0.704
0.009744535159336319,0.72
0.010534632604687911,0.744
0.011324730050039505,0.752
0.012904924940742692,0.76
0.014485119831445879,0.76
0.015801948907031866,0.76
0.01685541216750066,0.768
0.01869897287332104,0.776
0.02027916776402423,0.776
0.021595996839610217,0.776
0.0237029233605478,0.776
0.024229654990782196,0.784
0.025546484066368186,0.792
0.02739004477218857,0.792
0.02870687384777456,0.792
0.030550434553594942,0.792
0.031340531998946534,0.8
0.033974190150118516,0.808
0.0358177508559389,0.808
0.03792467737687648,0.816
0.03976823808269687,0.824
0.04292862786410324,0.824
0.04450882275480643,0.84
0.047932578351329996,0.84
0.05056623650250198,0.84
0.05319989465367395,0.848
0.05530682117461153,0.848
0.05715038188043192,0.848
0.0595206742164867,0.848
0.06241769818277588,0.848
0.06373452725836186,0.848
0.06531472214906506,0.848
0.06821174611535423,0.848
0.07031867263629181,0.856
0.07347906241769818,0.864
0.07716618382933896,0.864
0.08032657361074533,0.864
0.0829602317619173,0.864
0.08717408480379246,0.864
0.09165130366078483,0.864
0.09612852251777719,0.872
0.10139583882012115,0.872
0.1063997893073479,0.872
0.11272056887016066,0.872
0.118514616802739,0.872
0.12509876218066895,0.872
0.1308928101132473,0.872
0.13668685804582564,0.88
0.1435343692388728,0.88
0.14906505135633394,0.88
0.1553858309191467,0.88
0.1635501711877798,0.888
0.17066104819594416,0.888
0.1806689491703977,0.904
0.187779826178562,0.904
0.19462733737160917,0.904
0.2009481169344219,0.904
0.21121938372399263,0.912
0.22228074795891492,0.912
0.22886489333684487,0.912
0.2404529892020016,0.928
0.25177771925204107,0.928
0.2620489860416118,0.928
0.2760073742428233,0.928
0.2857519094021596,0.928
0.2999736634184883,0.928
0.3112983934685278,0.928
0.3271003423755596,0.928
0.34316565709770874,0.928
0.3587042401896234,0.928
0.37740321306294444,0.936
0.3947853568606795,0.936
0.4148011588095865,0.936
0.4421912035817751,0.952
0.4716881748749012,0.952
0.5101395838820121,0.952
0.5528048459309981,0.968
0.6031077166183829,0.976
0.6599947326836977,0.984
0.7292599420595207,0.984
0.8195944166447195,0.984
0.9154595733473795,0.992
1.0,1.0
