False Positive Rate,True Positive Rate
0.0,0.0
0.0,0.008
0.0,0.4
0.0005267316302343956,0.4
0.0005267316302343956,0.424
0.0007900974453515934,0.424
0.0007900974453515934,0.456
0.001316829075585989,0.456
0.001316829075585989,0.536
0.0015801948907031868,0.536
0.0015801948907031868,0.552
0.00237029233605478,0.552
0.00237029233605478,0.56
0.0028970239662891757,0.56
0.0028970239662891757,0.568
0.0031603897814063736,0.568
0.0031603897814063736,0.576
0.003423755596523571,0.576
0.003423755596523571,0.6
0.004213853041875165,0.6
0.004213853041875165,0.624
0.0057940479325783514,0.624
0.0057940479325783514,0.632
0.006057413747695549,0.632
0.006057413747695549,0.648
0.006584145377929945,0.648
0.006584145377929945,0.656
0.006847511193047142,0.656
0.006847511193047142,0.664
0.008954437713984725,0.664
0.008954437713984725,0.672
0.009744535159336319,0.672
0.009744535159336319,0.688
0.013695022386094284,0.688
0.013695022386094284,0.696
0.014748485646563076,0.696
0.014748485646563076,0.704
0.017118777982617857,0.704
0.017118777982617857,0.712
0.01790887542796945,0.712
0.01790887542796945,0.728
0.02027916776402423,0.728
0.02027916776402423,0.736
0.020542533579141427,0.736
0.020542533579141427,0.744
0.025546484066368186,0.744
0.025546484066368186,0.76
0.028443508032657362,0.76
0.028443508032657362,0.768
0.03186726362918093,0.768
0.03186726362918093,0.776
0.06821174611535423,0.776
0.06821174611535423,0.784
0.07005530682117461,0.784
0.07005530682117461,0.792
0.07532262312351856,0.792
0.07532262312351856,0.8
0.08612062154332367,0.8
0.08612062154332367,0.808
0.13826705293652883,0.808
0.13826705293652883,0.816
0.14932841717145115,0.816
0.14932841717145115,0.824
0.1777719252041085,0.824
0.1777719252041085,0.832
0.187779826178562,0.832
0.187779826178562,0.84
0.18804319199367922,0.84
0.18804319199367922,0.848
0.20805899394258626,0.848
0.20805899394258626,0.856
0.22965499078219648,0.856
0.22965499078219648,0.864
0.23492230708454043,0.864
0.23492230708454043,0.872
0.23729259942059522,0.872
0.23729259942059522,0.88
0.3573874111140374,0.88
0.3573874111140374,0.888
0.36344482486173296,0.888
0.36344482486173296,0.896
0.40084277060837503,0.896
0.40084277060837503,0.904
0.4403476428759547,0.904
0.4403476428759547,0.912
0.5946800105346326,0.912
0.5946800105346326,0.92
0.6196997629707663,0.92
0.6196997629707663,0.928
0.625757176718462,0.928
0.625757176718462,0.936
0.6344482486173295,0.936
0.6344482486173295,0.944
0.784303397419015,0.944
0.784303397419015,0.952
0.7995786146958125,0.952
0.7995786146958125,0.96
0.8040558335528049,0.96
0.8040558335528049,0.968
0.8282854885435871,0.968
0.8282854885435871,0.976
0.8554121675006584,0.976
0.8554121675006584,0.984
0.8593626547274164,0.984
0.8593626547274164,0.992
0.881485383197261,0.992
0.881485383197261,1.0
1.0,1.0
