Model,Accuracy,Precision,Recall,F1-score,AUC
LogisticRegression,0.9706782253952065,0.5284090909090909,0.744,0.6179401993355482,0.7224024719960663
DecisionTreeClassifier,0.8949515553289138,0.20773930753564154,0.816,0.33116883116883117,0.5148018312283
SVC,0.9701682814890362,0.5224719101123596,0.744,0.6138613861386139,0.6262643016949745
GaussianNB,0.9709331973482916,0.5329341317365269,0.712,0.6095890410958904,0.6163000320798919
KNeighborsClassifier,0.9563997960224375,0.40336134453781514,0.768,0.5289256198347108,0.6556007615352666
RandomForestClassifier,0.9329423763386028,0.3028571428571429,0.848,0.4463157894736842,0.7732900169714317
