False Positive Rate,True Positive Rate
0.0,0.0
0.014221754016328681,0.656
0.014485119831445879,0.656
0.014485119831445879,0.664
0.01553858309191467,0.664
0.01553858309191467,0.672
0.016065314722149063,0.672
0.016065314722149063,0.696
0.016592046352383462,0.696
0.016592046352383462,0.704
0.020015801948907033,0.704
0.020015801948907033,0.712
0.02264946010007901,0.712
0.02264946010007901,0.72
0.023439557545430603,0.72
0.023439557545430603,0.728
0.024229654990782196,0.728
0.024229654990782196,0.736
0.02528311825125099,0.736
0.02528311825125099,0.744
0.02712667895707137,0.744
0.02712667895707137,0.752
0.028180142217540165,0.752
0.028180142217540165,0.76
0.02976033710824335,0.76
0.02976033710824335,0.768
0.03186726362918093,0.768
0.03186726362918093,0.776
0.042138530418751645,0.776
0.042138530418751645,0.784
0.0474058467210956,0.784
0.0474058467210956,0.792
0.06452462470371345,0.792
0.06452462470371345,0.8
0.09849881485383197,0.8
0.09849881485383197,0.808
0.10034237555965236,0.808
0.10034237555965236,0.816
0.10797998419805109,0.816
0.10797998419805109,0.824
0.12009481169344219,0.824
0.12009481169344219,0.832
0.16091651303660784,0.832
0.16091651303660784,0.84
0.16170661048195945,0.84
0.16170661048195945,0.848
0.22043718725309455,0.848
0.22043718725309455,0.856
0.2615222544113774,0.856
0.2615222544113774,0.864
0.2652093758230182,0.864
0.2652093758230182,0.872
0.26678957071372134,0.872
0.26678957071372134,0.88
0.2773242033184093,0.88
0.2773242033184093,0.888
0.2936528838556755,0.888
0.2936528838556755,0.896
0.2989202001580195,0.896
0.2989202001580195,0.904
0.352910192257045,0.904
0.352910192257045,0.912
0.4385040821701343,0.912
0.4385040821701343,0.928
0.4859099288912299,0.928
0.4859099288912299,0.936
0.4895970503028707,0.936
0.4895970503028707,0.944
0.49486436660521466,0.944
0.49486436660521466,0.952
0.6826441927837766,0.952
0.6826441927837766,0.96
0.6908085330524097,0.96
0.6908085330524097,0.968
0.881485383197261,0.968
0.881485383197261,0.976
0.8993942586252305,0.976
0.8993942586252305,0.984
0.9394258625230445,0.984
0.9394258625230445,0.992
0.9968396102185936,0.992
1.0,1.0
